;;Mes anterior;1Q JUL;;Mes actual;1Q AGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;julio;2Q JUL;;agosto;2Q AGO;;;;;Nota:;Las formulas de Martella pond acumulado y The Rock pond acumulado son diferentes para obras con periodo de arranque 1Q y 2Q, ver bien eso al agregar una nueva obra a la base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELG;Avance proyectado;;2.67%;10.08%;20.11%;30.37%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELG;Avance inicial;0.00%;2.67%;10.08%;22.33%;34.66%;47.68%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;KWG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;1Q AGO 26;2Q AGO 26;1Q SEP 26;2Q SEP 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;Hs reales;280;477;790;706;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;1Q AGO 26;2Q AGO 26;1Q SEP 26;2Q SEP 26;0;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;Martella;0.88;0.90;0.95;0.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;1Q AGO 26;2Q AGO 26;1Q SEP 26;2Q SEP 26;0;Total;;;;;;;;;;;;;;Junio;;Julio;;;;;;;;;;;;;;;;;;
KWG;The Rock;0.13;0.60;0.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;; $ 2,500,000 ;Sueldo completo; $ 2,640,000 ;Sueldo completo;;;;;;;;;;;;;;;;;
KWG;;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;ene-27;;;;;;;;;;;;;;;; $ 1,000,000 ; Pagado proporcional ; $ 880,000 ;A pagar proporcional;;;;;;;;;;;;;;;;;
